Timestamp,Do you agree to participate?,Birth Date ,Gender,Ethnicity ,Home Location,Education,Marital Status ,Please select a type of chocolate.,Please select a type of cheese,Please select a type of alcohol (other than wine),How do you like your tea/coffee,Select a type of candy,Please choose a scent group,Choose a salad dressing,Choose a wine category,I like my wine to be.... ,"From the list below, select Red Wines you enjoy","From the list below, select Rose Wines you enjoy","From the list below, select White Wines you enjoy"
2020/08/18 1:28:34 AM CDT,Agree,9/21/1989,Female,White / Caucasian,United States of America,Trade School,Single (Never Married),Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Whiskey/Scotch,Tea/coffee with a little milk &/or cream,"Sour (Sour patch kids, Warheads, Lemonheads)","Citrus, Floral, Herbal","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Fruity;Floral,Red - Merlot;Red - Syrah,Rose - Pink Moscato;Rose - White Merlot,White - Chardonnay;White - Pinot Grigio;White - Riesling;White - Moscato
2020/08/18 6:36:23 AM CDT,Agree,4/23/1990,Female,White/Caucasian,United States of America,Bachelor's Degree,Married,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Vodka,Tea/coffee with a little milk &/or cream,"Fruity (Skittles, Starburst, Jolly Ranchers)","Wood, Tobacco, Musk","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Floral,Red - Cabernet sauvignon;Red - Pinot noir;Red - Zinfandel;Red - Syrah,Rose - Pinot Noir,White - Chardonnay;White - Pinot Grigio
2020/08/18 4:04:17 PM CDT,Agree,33284,Male,Latino or Hispanic,United States of America,Master's Degree,Single (Never Married),Dark Chocolate,"Soft (Brie, Camembert, Munster)",Tequila,Black (with nothing added),I do not eat candy,"Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry,Red - Malbec;Red - Nebbiolo;Red - Merlot,Rose - Syrah;Rose - Pinot Noir,White - Chardonnay
2020/08/18 5:51:08 PM CDT,Agree,32304,Female,White/Caucasian,United States of America,Bachelor's Degree,Married,Dark Chocolate,"Soft (Brie, Camembert, Munster)",Tequila,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Wood, Tobacco, Musk","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Bold,Red - Cabernet sauvignon;Red - Pinot noir,Rose - Pinot Noir;Rose - Pink Moscato,White - Chardonnay;White - Sauvignon Blanc
2020/08/18 5:55:14 PM CDT,Agree,20832,Female,White/Caucasian,United States of America,Master's Degree,Divorced,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Tequila,Black (with nothing added),"Sour (Sour patch kids, Warheads, Lemonheads)","Wood, Tobacco, Musk","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Bold,Red - Pinot noir;Red - Zinfandel,Rose - Pinot Noir,White - Chardonnay
2020/08/18 5:59:51 PM CDT,Agree,32158,Male,White/Caucasian,United States of America,Master's Degree,Single (Never Married),Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Cinnamon, Baked Goods, Frosting","Sweet/Herbal/Tangy (Thousand Island, Green Goddess, French)",White,Dry;Fruity,Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir,Rose - Cabernet;Rose - Pinot Noir,White - Chardonnay;White - Pinot Grigio
2020/08/18 6:00:11 PM CDT,Agree,32994,Male,White/Caucasian,United States of America,Bachelor's Degree,Married,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Whiskey/Scotch,Tea/coffee with a little milk &/or cream,"Fruity (Skittles, Starburst, Jolly Ranchers)","Cinnamon, Baked Goods, Frosting","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Fruity;Sweet,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Syrah,Rose - Pinot Noir,White - Chardonnay;White - Pinot Grigio;White - Moscato;White - Sauvignon Blanc
2020/08/18 6:02:01 PM CDT,Agree,20955,Female,White/Caucasian,United States of America,High School Diploma or equivalent,Married,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Vodka,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Bold,Red - Malbec;Red - Pinot noir,Rose - Pinot Noir,White - Sauvignon Blanc
2020/08/18 6:08:24 PM CDT,Agree,22151,Male,White/Caucasian,United States of America,Master's Degree,Married,Dark Chocolate,"Blue-veined (Roquefort, Gorgonzola, Bleu)",Beer,Tea/coffee with a little milk &/or cream,I do not eat candy,"Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Zinfandel,Rose - Pinot Noir,White - Chardonnay;White - Sauvignon Blanc
2020/08/18 6:10:00 PM CDT,Agree,19483,Male,White/Caucasian,United States of America,Master's Degree,Divorced,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Vodka,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Cinnamon, Baked Goods, Frosting","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Bold,Red - Cabernet sauvignon;Red - Pinot noir;Red - Zinfandel,Rose - Pinot Noir,White - Chardonnay
